"Kod";"Nazwa";"zameldowania ogółem;ogółem;2000;[osoba]";"zameldowania z miast;ogółem;2000;[osoba]";"zameldowania ze wsi;ogółem;2000;[osoba]";"wymeldowania ogółem;ogółem;2000;[osoba]";"wymeldowania do miast;ogółem;2000;[osoba]";"wymeldowania na wieś;ogółem;2000;[osoba]";"wymeldowania za granicę;ogółem;2000;[osoba]";"saldo migracji;ogółem;2000;[osoba]";
0000000;"POLSKA";401424;225493;168600;421092;221279;172814;26999;-19668;
0200000;"DOLNOŚLĄSKIE";29596;18153;10733;31568;17102;12357;2109;-1972;
0201000;"Powiat bolesławiecki";1270;680;568;1205;580;578;47;65;
0201011;"Bolesławiec (1)";363;143;214;558;235;294;29;-195;
0201022;"Bolesławiec (2)";273;192;73;186;112;64;10;87;
0201032;"Gromadka (2)";61;35;25;62;35;26;1;-1;
0201043;"Nowogrodziec (3)";206;107;94;231;113;114;4;-25;
0201044;"Nowogrodziec - miasto (4)";73;18;50;85;31;51;3;-12;
0201045;"Nowogrodziec - obszar wiejski (5)";133;89;44;146;82;63;1;-13;
0201052;"Osiecznica (2)";272;160;110;84;43;40;1;188;
0201062;"Warta Bolesławiecka (2)";95;43;52;84;42;40;2;11;
0202000;"Powiat dzierżoniowski";907;567;283;1138;703;289;146;-231;
0202011;"Bielawa (1)";210;131;58;296;160;71;65;-86;
0202021;"Dzierżoniów (1)";289;192;76;338;205;94;39;-49;
0202031;"Pieszyce (1)";99;77;21;118;92;17;9;-19;
0202041;"Piława Górna (1)";54;21;31;60;44;13;3;-6;
0202052;"Dzierżoniów (2)";108;75;23;160;112;42;6;-52;
0202062;"Łagiewniki (2)";72;38;32;65;32;23;10;7;
0202073;"Niemcza (3)";75;33;42;101;58;29;14;-26;
0202074;"Niemcza - miasto (4)";47;20;27;53;26;20;7;-6;
0202075;"Niemcza - obszar wiejski (5)";28;13;15;48;32;9;7;-20;
0203000;"Powiat głogowski";923;493;417;1081;471;537;73;-158;
0203011;"Głogów (1)";631;295;327;825;328;424;73;-194;
0203022;"Głogów (2)";93;69;24;79;41;38;0;14;
0203032;"Jerzmanowa (2)";55;37;17;31;25;6;0;24;
0203042;"Kotla (2)";54;38;16;66;42;24;0;-12;
0203052;"Pęcław (2)";41;21;19;23;9;14;0;18;
0203062;"Żukowice (2)";49;33;14;57;26;31;0;-8;
0204000;"Powiat górowski";410;185;224;470;248;221;1;-60;
0204013;"Góra (3)";233;101;132;260;147;112;1;-27;
0204014;"Góra - miasto (4)";136;47;89;138;76;62;0;-2;
0204015;"Góra - obszar wiejski (5)";97;54;43;122;71;50;1;-25;
0204022;"Jemielno (2)";32;14;17;27;6;21;0;5;
0204032;"Niechlów (2)";57;24;33;69;35;34;0;-12;
0204043;"Wąsosz (3)";88;46;42;114;60;54;0;-26;
0204044;"Wąsosz - miasto (4)";26;5;21;53;23;30;0;-27;
0204045;"Wąsosz - obszar wiejski (5)";62;41;21;61;37;24;0;1;
0205000;"Powiat jaworski";549;276;256;649;327;271;51;-100;
0205011;"Jawor (1)";178;50;118;279;107;138;34;-101;
0205023;"Bolków (3)";118;62;52;114;70;37;7;4;
0205024;"Bolków - miasto (4)";54;19;32;56;31;18;7;-2;
0205025;"Bolków - obszar wiejski (5)";64;43;20;58;39;19;0;6;
0205032;"Męcinka (2)";78;61;16;61;45;16;0;17;
0205042;"Mściwojów (2)";69;39;28;76;40;27;9;-7;
0205052;"Paszowice (2)";54;41;13;56;37;18;1;-2;
0205062;"Wądroże Wielkie (2)";52;23;29;63;28;35;0;-11;
