"Kod";"Nazwa";"zameldowania ogółem;ogółem;2015;[osoba]";"zameldowania z miast;ogółem;2015;[osoba]";"zameldowania ze wsi;ogółem;2015;[osoba]";"wymeldowania ogółem;ogółem;2015;[osoba]";"wymeldowania do miast;ogółem;2015;[osoba]";"wymeldowania na wieś;ogółem;2015;[osoba]";"wymeldowania za granicę;ogółem;2015;[osoba]";"saldo migracji;ogółem;2015;[osoba]";"saldo migracji na 1000 ludności;ogółem;2015;[osoba]";
0000000;"POLSKA";0;231902;155644;0;207832;179714;0;0;0,0;
0200000;"DOLNOŚLĄSKIE";0;21187;11913;0;16662;13786;0;0;0,0;
0201000;"Powiat bolesławiecki";0;610;569;0;613;589;0;0;0,0;
0201011;"Bolesławiec (1)";0;177;287;0;158;307;0;0;0,0;
0201022;"Bolesławiec (2)";0;161;65;0;144;69;0;0;0,0;
0201032;"Gromadka (2)";0;22;20;0;36;45;0;0;0,0;
0201043;"Nowogrodziec (3)";0;91;89;0;117;80;0;0;0,0;
0201044;"Nowogrodziec - miasto (4)";0;14;36;0;34;35;0;0;0,0;
0201045;"Nowogrodziec - obszar wiejski (5)";0;77;53;0;83;45;0;0;0,0;
0201052;"Osiecznica (2)";0;78;41;0;83;36;0;0;0,0;
0201062;"Warta Bolesławiecka (2)";0;81;67;0;75;52;0;0;0,0;
0202000;"Powiat dzierżoniowski";0;647;306;0;749;314;0;0;0,0;
0202011;"Bielawa (1)";0;147;77;0;216;93;0;0;0,0;
0202021;"Dzierżoniów (1)";0;172;122;0;217;98;0;0;0,0;
0202031;"Pieszyce (1)";0;122;29;0;62;15;0;0;0,0;
0202041;"Piława Górna (1)";0;16;14;0;39;12;0;0;0,0;
0202052;"Dzierżoniów (2)";0;113;19;0;108;38;0;0;0,0;
0202062;"Łagiewniki (2)";0;33;22;0;43;22;0;0;0,0;
0202073;"Niemcza (3)";0;44;23;0;64;36;0;0;0,0;
0202074;"Niemcza - miasto (4)";0;17;19;0;21;26;0;0;0,0;
0202075;"Niemcza - obszar wiejski (5)";0;27;4;0;43;10;0;0;0,0;
0203000;"Powiat głogowski";0;545;454;0;581;608;0;0;0,0;
0203011;"Głogów (1)";0;189;362;0;332;515;0;0;0,0;
0203022;"Głogów (2)";0;138;32;0;80;36;0;0;0,0;
0203032;"Jerzmanowa (2)";0;128;28;0;45;15;0;0;0,0;
