"Kod";"Nazwa";"zameldowania ogółem;ogółem;2023;[osoba]";"zameldowania z miast;ogółem;2023;[osoba]";"zameldowania ze wsi;ogółem;2023;[osoba]";"wymeldowania ogółem;ogółem;2023;[osoba]";"wymeldowania do miast;ogółem;2023;[osoba]";"wymeldowania na wieś;ogółem;2023;[osoba]";"saldo migracji;ogółem;2023;[osoba]";"saldo migracji na 1000 ludności;ogółem;2023;[osoba]";
0000000;"POLSKA";422806;248631;157468;416040;201807;204292;6766;0,2;
0200000;"DOLNOŚLĄSKIE";38145;24531;12269;34102;15852;17331;4043;1,4;
0201000;"Powiat bolesławiecki";1146;594;516;1117;530;558;29;0,3;
0201011;"Bolesławiec (1)";412;136;263;466;143;314;-54;-1,5;
0201022;"Bolesławiec (2)";288;216;67;196;125;71;92;6,0;
0201032;"Gromadka (2)";51;26;23;67;46;21;-16;-3,2;
0201043;"Nowogrodziec (3)";175;80;84;186;94;86;-11;-0,8;
0201044;"Nowogrodziec - miasto (4)";50;12;33;78;29;47;-28;-6,8;
0201045;"Nowogrodziec - obszar wiejski (5)";125;68;51;108;65;39;17;1,6;
0201052;"Osiecznica (2)";95;55;38;96;60;31;-1;-0,1;
0201062;"Warta Bolesławiecka (2)";125;81;41;106;62;35;19;2,3;
0202000;"Powiat dzierżoniowski";811;551;239;1004;593;375;-193;-2,0;
0202011;"Bielawa (1)";201;145;50;231;146;82;-30;-1,1;
0202021;"Dzierżoniów (1)";201;117;74;324;193;128;-123;-4,0;
0202041;"Piława Górna (1)";55;33;22;47;24;21;8;1,3;
0202052;"Dzierżoniów (2)";136;116;18;130;77;31;6;0,7;
0202062;"Łagiewniki (2)";60;30;29;78;36;42;-18;-2,5;
0202073;"Niemcza (3)";59;32;26;100;57;37;-41;-8,1;
0202074;"Niemcza - miasto (4)";42;18;23;41;22;18;1;0,4;
0202075;"Niemcza - obszar wiejski (5)";17;14;3;59;35;19;-42;-17,7;
0203000;"Powiat głogowski";1078;668;387;1365;525;821;-287;-3,4;
0203011;"Głogów (1)";506;181;308;1019;312;697;-513;-8,2;
0203022;"Głogów (2)";195;179;16;118;62;55;77;10,8;
0203032;"Jerzmanowa (2)";201;166;30;69;48;21;132;22,8;
0203042;"Kotla (2)";95;75;19;61;46;14;34;7,7;
0203052;"Pęcław (2)";48;37;11;36;25;5;12;5,7;
0203062;"Żukowice (2)";33;30;3;62;32;29;-29;-8,5;
0204000;"Powiat górowski";324;154;164;450;223;217;-126;-3,9;
0204013;"Góra (3)";171;78;93;231;106;117;-60;-3,2;
0204014;"Góra - miasto (4)";60;19;41;149;59;86;-89;-8,3;
0204015;"Góra - obszar wiejski (5)";111;59;52;82;47;31;29;3,7;
0204022;"Jemielno (2)";21;6;14;43;26;17;-22;-8,0;
0204032;"Niechlów (2)";44;27;14;72;35;35;-28;-6,2;
0204043;"Wąsosz (3)";88;43;43;104;56;48;-16;-2,4;
0204044;"Wąsosz - miasto (4)";35;12;23;44;21;23;-9;-3,5;
0204045;"Wąsosz - obszar wiejski (5)";53;31;20;60;35;25;-7;-1,7;
0205000;"Powiat jaworski";487;285;187;591;273;315;-104;-2,2;
0205011;"Jawor (1)";108;37;65;283;89;192;-175;-8,4;
0205023;"Bolków (3)";100;50;44;119;82;37;-19;-2,0;
0205024;"Bolków - miasto (4)";48;13;30;49;30;19;-1;-0,2;
0205025;"Bolków - obszar wiejski (5)";52;37;14;70;52;18;-18;-3,6;
0205032;"Męcinka (2)";95;70;25;58;32;25;37;7,1;
0205042;"Mściwojów (2)";51;31;18;47;23;24;4;1,0;
0205052;"Paszowice (2)";99;73;25;42;20;22;57;13,7;
0205062;"Wądroże Wielkie (2)";34;24;10;42;27;15;-8;-2,1;
0206000;"Powiat karkonoski";797;594;172;793;510;239;4;0,1;
0206011;"Karpacz (1)";43;34;8;90;55;34;-47;-11,0;
0206021;"Kowary (1)";53;32;19;107;50;31;-54;-5,5;
0206031;"Piechowice (1)";57;37;18;71;43;27;-14;-2,4;
0206041;"Szklarska Poręba (1)";66;46;13;89;67;22;-23;-3,9;
0206052;"Janowice Wielkie (2)";67;48;19;62;48;14;5;1,2;
0206062;"Jeżów Sudecki (2)";207;176;26;73;47;25;134;17,1;
0206072;"Mysłakowice (2)";94;66;23;116;64;37;-22;-2,3;
0206082;"Podgórzyn (2)";142;106;30;110;82;28;32;3,9;
0206092;"Stara Kamienica (2)";68;49;16;75;54;21;-7;-1,3;
0207000;"Powiat kamiennogórski";338;199;126;465;245;211;-127;-3,1;
0207011;"Kamienna Góra (1)";89;31;52;201;97;101;-112;-6,5;
0207022;"Kamienna Góra (2)";121;95;22;67;45;22;54;6,1;
0207033;"Lubawka (3)";96;53;41;143;77;61;-47;-4,6;
0207034;"Lubawka - miasto (4)";31;14;17;83;37;41;-52;-9,3;
0207035;"Lubawka - obszar wiejski (5)";65;39;24;60;40;20;5;1,1;
0207042;"Marciszów (2)";32;20;11;54;26;27;-22;-5,2;
0208000;"Powiat kłodzki";1440;876;496;1795;965;683;-355;-2,4;
0208011;"Duszniki-Zdrój (1)";29;18;11;61;38;23;-32;-7,9;
0208021;"Kłodzko (1)";203;105;91;282;116;160;-79;-3,2;
0208031;"Kudowa-Zdrój (1)";40;24;12;72;37;34;-32;-3,4;
0208041;"Nowa Ruda (1)";146;56;84;203;103;75;-57;-2,8;
0208051;"Polanica-Zdrój (1)";87;55;29;87;50;36;0;0,0;
0208063;"Bystrzyca Kłodzka (3)";194;100;81;292;131;99;-98;-5,6;
0208064;"Bystrzyca Kłodzka - miasto (4)";78;23;52;163;46;76;-85;-9,4;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";116;77;29;129;85;23;-13;-1,6;
0208072;"Kłodzko (2)";275;198;57;187;113;41;88;5,3;
0208083;"Lądek-Zdrój (3)";74;49;23;106;68;38;-32;-4,2;
0208084;"Lądek-Zdrój - miasto (4)";32;16;14;66;41;25;-34;-6,8;
0208085;"Lądek-Zdrój - obszar wiejski (5)";42;33;9;40;27;13;2;0,8;
0208092;"Lewin Kłodzki (2)";24;21;3;12;7;5;12;6,1;
0208103;"Międzylesie (3)";72;44;25;86;37;48;-14;-2,1;
0208104;"Międzylesie - miasto (4)";13;1;12;30;10;19;-17;-7,1;
0208105;"Międzylesie - obszar wiejski (5)";59;43;13;56;27;29;3;0,7;
0208112;"Nowa Ruda (2)";97;75;19;141;96;27;-44;-4,1;
0208123;"Radków (3)";74;43;26;109;75;34;-35;-4,1;
0208124;"Radków - miasto (4)";20;9;10;40;25;15;-20;-8,8;
0208125;"Radków - obszar wiejski (5)";54;34;16;69;50;19;-15;-2,4;
0208133;"Stronie Śląskie (3)";52;43;9;63;34;29;-11;-1,6;
0208134;"Stronie Śląskie - miasto (4)";24;17;7;51;23;28;-27;-5,4;
0208135;"Stronie Śląskie - obszar wiejski (5)";28;26;2;12;11;1;16;8,9;
0208143;"Szczytna (3)";73;45;26;94;60;34;-21;-3,0;
0208144;"Szczytna - miasto (4)";40;24;14;61;35;26;-21;-4,4;
0208145;"Szczytna - obszar wiejski (5)";33;21;12;33;25;8;0;0,0;
0209000;"Powiat legnicki";894;653;221;644;345;283;250;4,5;
0209011;"Chojnów (1)";114;42;60;168;53;103;-54;-4,4;
0209022;"Chojnów (2)";130;104;25;121;77;43;9;0,9;
0209032;"Krotoszyce (2)";56;47;9;48;22;26;8;2,4;
0209042;"Kunice (2)";188;155;31;74;51;22;114;14,8;
0209052;"Legnickie Pole (2)";117;85;30;55;40;15;62;11,7;
0209062;"Miłkowice (2)";178;145;32;68;51;16;110;15,2;
0209073;"Prochowice (3)";58;37;21;84;42;41;-26;-3,6;
0209074;"Prochowice - miasto (4)";27;15;12;45;22;22;-18;-5,1;
0209075;"Prochowice - obszar wiejski (5)";31;22;9;39;20;19;-8;-2,2;
0209082;"Ruja (2)";53;38;13;26;9;17;27;11,2;
0210000;"Powiat lubański";544;285;232;627;348;276;-83;-1,6;
0210011;"Lubań (1)";183;76;93;240;120;119;-57;-2,9;
0210021;"Świeradów-Zdrój (1)";34;20;13;37;20;17;-3;-0,8;
0210033;"Leśna (3)";89;58;27;113;67;46;-24;-2,6;
0210034;"Leśna - miasto (4)";25;9;15;47;22;25;-22;-5,5;
0210035;"Leśna - obszar wiejski (5)";64;49;12;66;45;21;-2;-0,4;
0210042;"Lubań (2)";79;42;34;76;43;33;3;0,5;
0210062;"Platerówka (2)";23;14;9;12;10;2;11;7,3;
0210072;"Siekierczyn (2)";53;32;20;68;35;31;-15;-3,4;
0211000;"Powiat lubiński";1450;980;429;1544;679;848;-94;-0,9;
0211011;"Lubin (1)";642;291;313;1102;360;731;-460;-6,8;
0211022;"Lubin (2)";631;578;53;233;191;37;398;21,9;
0211032;"Rudna (2)";73;46;25;75;56;19;-2;-0,3;
0211043;"Ścinawa (3)";104;65;38;134;72;61;-30;-3,2;
0211044;"Ścinawa - miasto (4)";65;32;32;70;40;30;-5;-0,9;
0211045;"Ścinawa - obszar wiejski (5)";39;33;6;64;32;31;-25;-6,0;
0212000;"Powiat lwówecki";441;258;161;518;297;215;-77;-1,8;
0212013;"Gryfów Śląski (3)";110;63;39;140;66;74;-30;-3,3;
0212014;"Gryfów Śląski - miasto (4)";52;18;28;96;36;60;-44;-7,2;
0212015;"Gryfów Śląski - obszar wiejski (5)";58;45;11;44;30;14;14;4,7;
0212023;"Lubomierz (3)";66;41;21;50;29;20;16;2,8;
0212024;"Lubomierz - miasto (4)";19;12;5;10;3;7;9;5,1;
0212025;"Lubomierz - obszar wiejski (5)";47;29;16;40;26;13;7;1,8;
0212033;"Lwówek Śląski (3)";118;58;54;177;116;61;-59;-3,6;
0212034;"Lwówek Śląski - miasto (4)";54;17;33;96;55;41;-42;-5,1;
0212035;"Lwówek Śląski - obszar wiejski (5)";64;41;21;81;61;20;-17;-2,1;
0212043;"Mirsk (3)";110;69;38;99;54;44;11;1,4;
0212044;"Mirsk - miasto (4)";35;14;18;49;20;29;-14;-3,8;
0212045;"Mirsk - obszar wiejski (5)";75;55;20;50;34;15;25;5,6;
0212053;"Wleń (3)";37;27;9;52;32;16;-15;-3,8;
0212054;"Wleń - miasto (4)";11;3;8;27;18;8;-16;-10,1;
0212055;"Wleń - obszar wiejski (5)";26;24;1;25;14;8;1;0,4;
0213000;"Powiat milicki";342;192;141;431;228;201;-89;-2,5;
0213012;"Cieszków (2)";35;22;13;50;32;17;-15;-3,3;
0213022;"Krośnice (2)";84;53;25;91;55;36;-7;-0,9;
0213033;"Milicz (3)";223;117;103;290;141;148;-67;-2,9;
0213034;"Milicz - miasto (4)";103;35;66;159;54;104;-56;-5,2;
0213035;"Milicz - obszar wiejski (5)";120;82;37;131;87;44;-11;-0,9;
0214000;"Powiat oleśnicki";1627;921;648;1308;586;688;319;3,0;
0214011;"Oleśnica (1)";428;182;230;463;135;317;-35;-1,0;
0214023;"Bierutów (3)";88;35;48;126;60;49;-38;-4,1;
0214024;"Bierutów - miasto (4)";45;14;29;54;17;24;-9;-2,0;
0214025;"Bierutów - obszar wiejski (5)";43;21;19;72;43;25;-29;-6,0;
0214032;"Dobroszyce (2)";136;88;45;68;37;31;68;9,4;
0214042;"Dziadowa Kłoda (2)";47;23;20;59;29;30;-12;-2,6;
0214053;"Międzybórz (3)";44;20;23;61;20;41;-17;-3,4;
0214054;"Międzybórz - miasto (4)";23;9;13;24;7;17;-1;-0,4;
0214055;"Międzybórz - obszar wiejski (5)";21;11;10;37;13;24;-16;-5,9;
0214062;"Oleśnica (2)";478;366;96;189;142;42;289;18,0;
0214073;"Syców (3)";264;113;141;204;82;121;60;3,6;
0214074;"Syców - miasto (4)";138;35;99;115;23;91;23;2,3;
0214075;"Syców - obszar wiejski (5)";126;78;42;89;59;30;37;5,7;
0214083;"Twardogóra (3)";142;94;45;138;81;57;4;0,3;
0214084;"Twardogóra - miasto (4)";50;23;25;77;43;34;-27;-4,3;
0214085;"Twardogóra - obszar wiejski (5)";92;71;20;61;38;23;31;4,9;
0215000;"Powiat oławski";1097;712;358;851;375;460;246;3,2;
0215011;"Oława (1)";385;201;171;316;111;201;69;2,1;
0215022;"Domaniów (2)";68;52;13;49;26;23;19;3,9;
0215033;"Jelcz-Laskowice (3)";380;257;116;300;115;184;80;3,4;
0215034;"Jelcz-Laskowice - miasto (4)";114;48;63;218;67;150;-104;-6,9;
0215035;"Jelcz-Laskowice - obszar wiejski (5)";266;209;53;82;48;34;184;21,3;
0215042;"Oława (2)";264;202;58;186;123;52;78;5,0;
0216000;"Powiat polkowicki";850;568;271;808;451;353;42;0,7;
0216013;"Chocianów (3)";128;96;32;185;121;63;-57;-4,6;
0216014;"Chocianów - miasto (4)";46;25;21;116;69;46;-70;-9,5;
0216015;"Chocianów - obszar wiejski (5)";82;71;11;69;52;17;13;2,6;
0216022;"Gaworzyce (2)";51;36;14;48;33;15;3;0,8;
0216032;"Grębocice (2)";98;72;26;58;40;18;40;7,6;
0216043;"Polkowice (3)";358;226;126;374;167;205;-16;-0,6;
0216044;"Polkowice - miasto (4)";219;98;115;305;113;190;-86;-4,0;
0216045;"Polkowice - obszar wiejski (5)";139;128;11;69;54;15;70;12,8;
0216053;"Przemków (3)";104;58;44;95;56;38;9;1,1;
0216054;"Przemków - miasto (4)";64;26;38;62;32;29;2;0,4;
0216055;"Przemków - obszar wiejski (5)";40;32;6;33;24;9;7;3,1;
0216062;"Radwanice (2)";111;80;29;48;34;14;63;12,4;
0217000;"Powiat strzeliński";489;259;219;455;225;222;34;0,8;
0217012;"Borów (2)";32;20;11;55;24;24;-23;-4,6;
0217022;"Kondratowice (2)";45;15;29;33;11;22;12;3,0;
0217032;"Przeworno (2)";45;29;15;40;27;13;5;1,1;
0217043;"Strzelin (3)";292;163;124;224;109;114;68;3,2;
0217044;"Strzelin - miasto (4)";124;47;75;130;45;84;-6;-0,5;
0217045;"Strzelin - obszar wiejski (5)";168;116;49;94;64;30;74;7,8;
0217053;"Wiązów (3)";75;32;40;103;54;49;-28;-4,1;
0217054;"Wiązów - miasto (4)";25;10;15;29;8;21;-4;-1,8;
0217055;"Wiązów - obszar wiejski (5)";50;22;25;74;46;28;-24;-5,2;
0218000;"Powiat średzki";1297;948;332;627;330;292;670;11,4;
0218012;"Kostomłoty (2)";95;62;32;104;51;53;-9;-1,3;
0218022;"Malczyce (2)";72;38;33;55;33;22;17;3,0;
0218043;"Środa Śląska (3)";296;168;122;206;96;108;90;4,5;
0218044;"Środa Śląska - miasto (4)";148;75;71;118;44;72;30;3,1;
0218045;"Środa Śląska - obszar wiejski (5)";148;93;51;88;52;36;60;5,8;
0218052;"Udanin (2)";40;21;19;60;25;34;-20;-4,1;
0219000;"Powiat świdnicki";1653;1062;528;1650;848;738;3;0,0;
0219011;"Świdnica (1)";472;248;197;640;223;374;-168;-3,2;
0219021;"Świebodzice (1)";190;144;42;178;91;77;12;0,5;
0219032;"Dobromierz (2)";47;33;14;48;28;20;-1;-0,2;
0219043;"Jaworzyna Śląska (3)";149;104;40;105;74;31;44;4,3;
0219044;"Jaworzyna Śląska - miasto (4)";59;39;19;59;41;18;0;0,0;
0219045;"Jaworzyna Śląska - obszar wiejski (5)";90;65;21;46;33;13;44;8,5;
0219052;"Marcinowice (2)";89;54;29;92;64;28;-3;-0,5;
0219063;"Strzegom (3)";194;102;83;252;153;96;-58;-2,4;
0219064;"Strzegom - miasto (4)";115;48;63;153;80;73;-38;-2,5;
0219065;"Strzegom - obszar wiejski (5)";79;54;20;99;73;23;-20;-2,2;
0219072;"Świdnica (2)";365;291;65;182;135;41;183;10,2;
0219083;"Żarów (3)";147;86;58;153;80;71;-6;-0,5;
0219084;"Żarów - miasto (4)";64;32;30;108;47;59;-44;-6,8;
0219085;"Żarów - obszar wiejski (5)";83;54;28;45;33;12;38;6,7;
0220000;"Powiat trzebnicki";1523;1057;433;907;485;417;616;7,0;
0220013;"Oborniki Śląskie (3)";468;351;114;246;151;95;222;10,5;
0220014;"Oborniki Śląskie - miasto (4)";148;85;60;126;62;64;22;2,4;
0220015;"Oborniki Śląskie - obszar wiejski (5)";320;266;54;120;89;31;200;16,6;
0220023;"Prusice (3)";98;53;45;83;43;40;15;1,6;
0220024;"Prusice - miasto (4)";21;5;16;27;9;18;-6;-2,8;
0220025;"Prusice - obszar wiejski (5)";77;48;29;56;34;22;21;2,9;
0220033;"Trzebnica (3)";413;263;141;290;121;164;123;4,9;
0220034;"Trzebnica - miasto (4)";186;97;87;175;53;119;11;0,8;
0220035;"Trzebnica - obszar wiejski (5)";227;166;54;115;68;45;112;9,8;
0220042;"Wisznia Mała (2)";316;255;47;115;66;49;201;16,8;
0220052;"Zawonia (2)";92;63;27;52;36;16;40;6,8;
0220063;"Żmigród (3)";136;72;59;121;68;53;15;1,1;
0220064;"Żmigród - miasto (4)";41;11;27;57;28;29;-16;-2,6;
0220065;"Żmigród - obszar wiejski (5)";95;61;32;64;40;24;31;3,9;
0221000;"Powiat wałbrzyski";649;512;117;639;437;200;10;0,2;
0221011;"Boguszów-Gorce (1)";119;83;32;156;120;36;-37;-2,6;
0221021;"Jedlina-Zdrój (1)";61;53;8;59;35;24;2;0,4;
0221031;"Szczawno-Zdrój (1)";128;114;9;76;68;8;52;9,9;
0221042;"Czarny Bór (2)";38;33;3;43;21;22;-5;-1,0;
0221053;"Głuszyca (3)";107;69;32;123;63;59;-16;-2,0;
0221054;"Głuszyca - miasto (4)";47;25;19;77;37;39;-30;-5,1;
0221055;"Głuszyca - obszar wiejski (5)";60;44;13;46;26;20;14;6,5;
0221063;"Mieroszów (3)";66;43;22;87;60;26;-21;-3,4;
0221064;"Mieroszów - miasto (4)";39;23;15;51;31;20;-12;-3,2;
0221065;"Mieroszów - obszar wiejski (5)";27;20;7;36;29;6;-9;-3,6;
0221072;"Stare Bogaczowice (2)";56;50;5;44;26;18;12;2,8;
0221082;"Walim (2)";74;67;6;51;44;7;23;4,3;
0222000;"Powiat wołowski";559;324;215;575;340;210;-16;-0,4;
0222013;"Brzeg Dolny (3)";195;123;66;203;123;62;-8;-0,5;
0222014;"Brzeg Dolny - miasto (4)";129;70;53;152;90;48;-23;-1,8;
0222015;"Brzeg Dolny - obszar wiejski (5)";66;53;13;51;33;14;15;4,2;
0222022;"Wińsko (2)";93;52;37;93;55;38;0;0,0;
0222033;"Wołów (3)";271;149;112;279;162;110;-8;-0,4;
0222034;"Wołów - miasto (4)";167;78;81;140;59;78;27;2,2;
0222035;"Wołów - obszar wiejski (5)";104;71;31;139;103;32;-35;-3,7;
0223000;"Powiat wrocławski";6006;4677;1182;2061;1175;863;3945;21,4;
0223012;"Czernica (2)";1107;883;206;236;156;78;871;37,1;
0223022;"Długołęka (2)";1243;1011;209;377;231;145;866;20,0;
0223032;"Jordanów Śląski (2)";59;20;34;25;18;7;34;10,5;
0223043;"Kąty Wrocławskie (3)";830;629;171;357;193;155;473;15,8;
0223044;"Kąty Wrocławskie - miasto (4)";100;43;53;105;29;73;-5;-0,7;
0223045;"Kąty Wrocławskie - obszar wiejski (5)";730;586;118;252;164;82;478;21,0;
0223052;"Kobierzyce (2)";816;658;126;273;162;110;543;22,0;
0223062;"Mietków (2)";65;41;22;42;25;15;23;6,0;
0223073;"Sobótka (3)";235;157;75;128;56;72;107;8,2;
0223074;"Sobótka - miasto (4)";120;60;57;62;35;27;58;8,3;
0223075;"Sobótka - obszar wiejski (5)";115;97;18;66;21;45;49;8,2;
0223083;"Siechnice (3)";1210;943;241;462;234;221;748;25,2;
0223084;"Siechnice - miasto (4)";408;266;131;205;62;142;203;18,8;
0223085;"Siechnice - obszar wiejski (5)";802;677;110;257;172;79;545;28,8;
0223092;"Żórawina (2)";441;335;98;161;100;60;280;20,7;
0224000;"Powiat ząbkowicki";635;335;283;730;431;292;-95;-1,6;
0224013;"Bardo (3)";47;26;20;47;27;20;0;0,0;
0224014;"Bardo - miasto (4)";16;8;8;29;20;9;-13;-5,6;
0224015;"Bardo - obszar wiejski (5)";31;18;12;18;7;11;13;4,9;
0224022;"Ciepłowody (2)";30;18;11;33;22;11;-3;-1,0;
0224042;"Stoszowice (2)";39;22;15;61;36;24;-22;-4,3;
0224053;"Ząbkowice Śląskie (3)";240;136;94;245;137;106;-5;-0,2;
0224054;"Ząbkowice Śląskie - miasto (4)";138;60;73;174;83;89;-36;-2,5;
0224055;"Ząbkowice Śląskie - obszar wiejski (5)";102;76;21;71;54;17;31;4,9;
0224063;"Ziębice (3)";153;71;81;182;114;65;-29;-1,9;
0224064;"Ziębice - miasto (4)";98;33;64;67;36;31;31;3,9;
0224065;"Ziębice - obszar wiejski (5)";55;38;17;115;78;34;-60;-7,9;
0224073;"Złoty Stok (3)";30;19;11;48;26;22;-18;-4,4;
0224074;"Złoty Stok - miasto (4)";13;5;8;30;20;10;-17;-6,9;
0224075;"Złoty Stok - obszar wiejski (5)";17;14;3;18;6;12;-1;-0,6;
0225000;"Powiat zgorzelecki";1004;581;334;1176;604;494;-172;-2,0;
0225011;"Zawidów (1)";37;15;15;68;29;39;-31;-8,2;
0225021;"Zgorzelec (1)";274;137;106;373;144;197;-99;-3,4;
0225033;"Bogatynia (3)";222;104;96;356;198;126;-134;-6,3;
0225034;"Bogatynia - miasto (4)";139;41;87;244;110;111;-105;-6,5;
0225035;"Bogatynia - obszar wiejski (5)";83;63;9;112;88;15;-29;-5,5;
0225043;"Pieńsk (3)";89;53;34;83;46;37;6;0,7;
0225044;"Pieńsk - miasto (4)";41;23;17;59;28;31;-18;-3,3;
0225045;"Pieńsk - obszar wiejski (5)";48;30;17;24;18;6;24;7,4;
0225052;"Sulików (2)";79;54;17;86;47;29;-7;-1,2;
0225063;"Węgliniec (3)";55;27;24;95;62;32;-40;-5,1;
0225064;"Węgliniec - miasto (4)";23;7;14;24;13;11;-1;-0,4;
0225065;"Węgliniec - obszar wiejski (5)";32;20;10;71;49;21;-39;-7,5;
0225072;"Zgorzelec (2)";248;191;42;115;78;34;133;15,0;
0226000;"Powiat złotoryjski";357;200;145;495;284;211;-138;-3,4;
0226011;"Wojcieszów (1)";16;8;7;33;21;12;-17;-4,9;
0226021;"Złotoryja (1)";107;40;59;179;93;86;-72;-5,1;
0226032;"Pielgrzymka (2)";25;15;10;54;27;27;-29;-6,9;
0226043;"Świerzawa (3)";73;41;31;74;46;28;-1;-0,1;
0226044;"Świerzawa - miasto (4)";24;9;14;20;7;13;4;2,0;
0226045;"Świerzawa - obszar wiejski (5)";49;32;17;54;39;15;-5;-1,0;
0226052;"Zagrodno (2)";37;23;14;60;31;29;-23;-4,7;
0226062;"Złotoryja (2)";99;73;24;95;66;29;4;0,6;
0261000;"Powiat m. Jelenia Góra";650;368;267;742;280;420;-92;-1,2;
0261011;"Jelenia Góra (1)";650;368;267;742;280;420;-92;-1,2;
0262000;"Powiat m. Legnica";524;244;235;1119;446;637;-595;-6,4;
0262011;"Legnica (1)";524;244;235;1119;446;637;-595;-6,4;
0264000;"Powiat m. Wrocław";8652;5153;3102;7686;2197;5275;966;1,4;
0264011;"Wrocław (1)";8652;5153;3102;7686;2197;5275;966;1,4;
0400000;"KUJAWSKO-POMORSKIE";21318;11735;8998;23342;10205;12644;-2024;-1,0;
0401000;"Powiat aleksandrowski";672;353;309;651;349;293;21;0,4;
0401011;"Aleksandrów Kujawski (1)";152;51;101;163;78;85;-11;-1,0;
0401021;"Ciechocinek (1)";137;92;41;123;59;57;14;1,4;
0401031;"Nieszawa (1)";8;4;3;17;11;5;-9;-5,2;
0401042;"Aleksandrów Kujawski (2)";180;129;49;125;84;40;55;4,6;
0401052;"Bądkowo (2)";33;10;23;39;26;13;-6;-1,5;
0401062;"Koneck (2)";26;7;19;40;11;29;-14;-4,5;
0401072;"Raciążek (2)";47;25;20;42;23;19;5;1,6;
0401082;"Waganiec (2)";54;18;36;63;35;28;-9;-2,0;
0401092;"Zakrzewo (2)";35;17;17;39;22;17;-4;-1,2;
0402000;"Powiat brodnicki";852;404;422;930;414;507;-78;-1,0;
0402011;"Brodnica (1)";258;75;172;380;116;264;-122;-4,3;
0402022;"Bobrowo (2)";61;29;30;71;28;42;-10;-1,7;
0402032;"Brodnica (2)";237;171;63;103;67;30;134;14,2;
0402042;"Brzozie (2)";36;7;28;38;20;18;-2;-0,5;
0402053;"Górzno (3)";38;14;23;46;21;25;-8;-2,1;
0402054;"Górzno - miasto (4)";18;5;13;20;12;8;-2;-1,4;
0402055;"Górzno - obszar wiejski (5)";20;9;10;26;9;17;-6;-2,6;
0402062;"Bartniczka (2)";35;20;15;44;29;15;-9;-2,0;
0402073;"Jabłonowo Pomorskie (3)";77;32;42;114;54;59;-37;-4,4;
0402074;"Jabłonowo Pomorskie - miasto (4)";46;8;35;50;16;34;-4;-1,1;
0402075;"Jabłonowo Pomorskie - obszar wiejski (5)";31;24;7;64;38;25;-33;-6,9;
0402082;"Osiek (2)";30;20;9;49;28;21;-19;-5,0;
0402092;"Świedziebnia (2)";27;10;17;49;28;21;-22;-4,5;
0402102;"Zbiczno (2)";53;26;23;36;23;12;17;3,5;
0403000;"Powiat bydgoski";2914;2316;553;1279;727;520;1635;13,0;
0403012;"Białe Błota (2)";774;648;110;262;161;98;512;19,8;
0403022;"Dąbrowa Chełmińska (2)";165;115;46;101;57;44;64;7,5;
0403032;"Dobrcz (2)";343;260;79;128;72;50;215;17,1;
0403043;"Koronowo (3)";209;123;83;228;122;103;-19;-0,8;
0403044;"Koronowo - miasto (4)";82;38;42;90;45;42;-8;-0,7;
0403045;"Koronowo - obszar wiejski (5)";127;85;41;138;77;61;-11;-0,9;
0403052;"Nowa Wieś Wielka (2)";232;166;64;111;64;45;121;11,7;
0403062;"Osielsko (2)";804;695;96;217;122;90;587;32,4;
0403072;"Sicienko (2)";284;244;40;100;67;33;184;17,0;
0403083;"Solec Kujawski (3)";103;65;35;132;62;57;-29;-1,8;
0403084;"Solec Kujawski - miasto (4)";89;54;32;123;57;55;-34;-2,2;
0403085;"Solec Kujawski - obszar wiejski (5)";14;11;3;9;5;2;5;4,5;
0404000;"Powiat chełmiński";450;236;199;578;237;303;-128;-2,6;
